timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup,prey1catchRate,prey2catchrate
700,30,29264.93333,27285.8,31205.63333,38236.43333,35293.8,41287.06667,835.1666667,780.8,892.3,1395.733333,1306.766667,1491.533333,13,10.93333333,15.16666667,22.2,20.26666667,24.46666667,118.1333333,105.8,130.6,11.9636656,8.814601271,14.91521841,11.73148985,8.681939939,14.49509285,-20.13159076,-25.08782141,-14.87012058,0.015565755,0.015905617
710,30,25117.1,22735.4,27326.3,31638.26667,28263.13333,35266.16667,971.9333333,912.6333333,1038.066667,1601.533333,1502.5,1700.166667,11.16666667,9.6,12.73333333,18.9,17.03333333,20.8,104.4,93.66666667,114.9666667,16.63044835,13.89516621,19.24419158,15.13082819,12.87362907,17.19101595,-9.069688292,-16.10731894,-1.331618714,0.011489128,0.011801191
720,30,19840.76667,17578.3,22182.2,23865.96667,20635.6,27180.43333,1112.666667,1049.5,1170.8,1836.3,1746.5,1918.3,12.13333333,10.7,13.63333333,19.63333333,17.5,21.8,109.5333333,97.16666667,122.7333333,15.26660016,12.77561001,17.77214013,15.45745042,12.72119381,17.8934511,5.346552838,-2.844505058,12.72073282,0.010904733,0.01069179
730,30,15180.43333,13334.23333,16971.43333,16567.13333,14080.23333,19002.73333,1228.8,1177.366667,1272.533333,2011.8,1952.5,2067.333333,13.93333333,12.2,15.76666667,23.33333333,20.23333333,26.5,129.5333333,113.5666667,147.4,11.52851689,8.497698058,14.4196796,10.50863133,7.492590534,13.30385513,17.36453331,11.6401015,22.48605251,0.011338976,0.011598237
740,30,11965.76667,10721.6,13259.53333,12313.76667,10866.66667,13761.06667,1299.033333,1264,1330.433333,2090.4,2040.7,2141.933333,18.03333333,15.2,21.03333333,28.86666667,24.96666667,33.13333333,164.9666667,144.5333333,186.3333333,6.417599892,3.472903373,9.303252859,4.309161662,1.644755272,6.824741759,28.88169287,25.18821358,32.68544276,0.013882117,0.013809159
750,30,10733.3,9673.233333,11798.93333,11177.13333,9956.833333,12311.03333,1294.666667,1251.766667,1332.133333,2066.633333,2009.233333,2118.066667,22.03333333,19.4,24.53333333,35,31.63333333,38.33333333,214.2666667,189.7666667,238.6333333,-0.254898485,-2.329609478,1.990229901,-1.059845177,-3.003222465,1.081068531,31.31739478,26.94807696,35.7546345,0.017018538,0.016935757
760,30,11441.56667,10196.33333,12753.7,12721.43333,11024.23333,14636.13333,1218.366667,1161.9,1265.8,1958.133333,1875.833333,2033.466667,26.5,23.76666667,28.86666667,43.96666667,40.26666667,47.26666667,262.1333333,239.6333333,284.6,-6.082324086,-8.579816772,-3.833552908,-5.462311121,-7.44254985,-3.821941886,25.8479664,21.15992931,30.40728565,0.021750431,0.022453357
770,30,14536.5,12633.33333,16784.03333,16637.23333,13958.83333,19407.03333,1122.566667,1057,1184.6,1789.933333,1689.3,1891.066667,28.26666667,26.23333333,30.33333333,48.9,45.43333333,52.2,303.3333333,286.7,320.3666667,-8.231280318,-10.03245771,-6.399840676,-8.917247217,-10.58525949,-7.166250317,19.12287193,13.41904213,24.38787258,0.02518039,0.027319453
780,30,18330.03333,16188.6,20679.4,22807.06667,19509.16667,26226.9,986.5666667,922.2666667,1045.566667,1594.8,1499.5,1686.933333,31.43333333,29.1,33.76666667,52,48.86666667,54.9,322.4,307.4333333,337.2333333,-12.31467762,-14.02752044,-10.66930021,-11.09333147,-12.38819402,-9.803424211,7.77140197,2.395864763,12.64560288,0.031861337,0.032605969
790,30,23054.8,20879.1,25200.53333,30025.8,26607.36667,33614.03333,862.6333333,808.3666667,912.6666667,1400.666667,1318,1483.933333,30.7,27.76666667,33.5,49.63333333,45.96666667,53.2,310.7,285.1333333,331.6666667,-12.23314874,-14.28818857,-9.918060778,-11.85785546,-13.83399918,-9.870111344,-3.675094659,-10.36955516,2.921490347,0.035588701,0.035435507
800,30,27449.3,25557.33333,29175.2,36512.16667,33579.63333,39232.2,762.2666667,725.5666667,797.3,1263.4,1206.833333,1315.766667,26.1,23.23333333,28.73333333,42.76666667,38,47.46666667,264.9,234.1333333,293.5333333,-10.56071433,-13.94415783,-7.122804575,-8.957487707,-11.71433872,-5.885199512,-16.20713724,-20.90192426,-11.32206243,0.034239986,0.033850456
810,30,30535.76667,29451.26667,31818.33333,40371.13333,38457.1,42378.76667,724.8666667,695.2333333,756.0666667,1208,1154.566667,1264.5,22.1,18.9,25.5,33.4,29.36666667,37.23333333,207,180.1666667,235.3,-3.917664559,-7.945479035,0.328830967,-3.663387084,-7.72137247,0.179884915,-22.49660235,-26.91548426,-18.56273769,0.030488366,0.027649007
820,30,30973.73333,29469.4,32227.66667,41081.06667,38480.9,43373.86667,752.9666667,710.2,801.1666667,1273.4,1202.4,1344.5,15.26666667,13.16666667,17.2,26.96666667,23.23333333,30.5,149.7333333,130.6,170.1333333,3.750329387,-0.269884291,8.192600307,5.337874261,1.642426257,9.234235344,-26.68924096,-29.60297396,-23.37681656,0.020275355,0.021176902
830,30,28865.13333,26789.96667,30875.26667,37060.66667,33620.5,40392.63333,851.6333333,786.4666667,914.8333333,1428.433333,1327.9,1526.966667,13.03333333,11.33333333,14.66666667,21.33333333,18.73333333,23.9,117.8666667,105.5666667,129.3,12.61871568,9.428288696,15.55946246,11.85911039,9.216316567,14.43349908,-17.74241226,-23.65183019,-11.63132837,0.015303926,0.014934777
840,30,24596.3,21908.1,27023.16667,30516.63333,26792.66667,34214.3,973,901.5333333,1042.466667,1631.933333,1525.366667,1738.6,12.63333333,11.16666667,14.2,19.1,17.1,21.2,104.7333333,96.2,114.5,14.22280734,11.78932193,17.13710795,14.50295336,12.58180446,16.6831071,-8.298294074,-14.79765648,-2.077685019,0.012983899,0.011703909
850,30,19965.96667,17172.63333,22544.33333,23024.03333,19573.8,26110.66667,1111.9,1036.9,1178.4,1857.7,1761.666667,1950.5,12.4,11.2,13.63333333,18.43333333,16.23333333,20.9,109.5666667,95.3,122.8,15.31953523,12.87082988,17.684982,14.7366212,12.39204351,16.95682614,4.350859571,-2.535316752,11.497682,0.011152082,0.009922664
860,30,15357.5,13387.3,17540.1,16124.2,13600.43333,18469.53333,1228.766667,1171.666667,1284.533333,2022.033333,1954.466667,2093.433333,14.33333333,11.93333333,16.96666667,22.63333333,19.43333333,25.73333333,131.2333333,112.6333333,151.2666667,11.61559257,9.064596933,14.3723669,9.830815866,6.810916816,12.45346356,18.31900401,12.61550917,24.49946277,0.011664813,0.011193353
870,30,12126.5,10694.8,13686.06667,12172.4,10676.5,13645.63333,1296.466667,1256.233333,1340.333333,2100.766667,2048.2,2154.1,17.73333333,14.7,20.53333333,27.53333333,23.43333333,31.5,162.6333333,140.5333333,185.0333333,6.415005899,2.851601686,9.874839452,4.376331498,1.534564799,7.153837982,25.18552633,20.96215082,29.6516207,0.013678202,0.013106326
880,30,10732.96667,9607.166667,11916.06667,10956.46667,9593.933333,12489.4,1301.366667,1253.733333,1345.533333,2082.666667,2016.866667,2140.033333,21.66666667,18.7,24.8,34.56666667,30.8,38.33333333,206.1333333,182.4,231.5333333,0.567017753,-2.253087153,3.388818406,-0.821877617,-2.890464739,1.410142271,29.16360046,25.59781688,32.72162573,0.016649164,0.016597311
890,30,11316.7,9925.466667,13027.93333,12374.3,10478.33333,14442.86667,1243.366667,1181.433333,1297.1,1977.4,1890.9,2059.8,27.96666667,25.3,30.7,41.13333333,36.2,45.6,253.8666667,231.5666667,276.1666667,-4.627917976,-6.84691024,-2.461822857,-5.268616636,-7.005092371,-3.704183465,27.41284314,21.80989667,32.84006009,0.022492695,0.020801726
900,30,13729.3,11734.83333,15699.43333,16268.03333,13622.33333,19053.36667,1139.1,1074.133333,1202.8,1818.766667,1723.6,1903.833333,29.03333333,26.93333333,31.43333333,46.63333333,43.33333333,50.13333333,298.4333333,283.2,315.1666667,-8.615729136,-10.29842617,-7.046472475,-8.29211967,-9.641977221,-6.842401496,20.77910065,14.89595279,25.76299454,0.025487958,0.025640086
